title,body,label
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
CLI flags undocumented,The --verbose and --dry-run flags appear in help output but are not in the docs.,documentation
Side-by-side diff for edited comments,Show a diff view when editing a comment so reviewers can see what changed.,feature
Date picker shows wrong month,The calendar component displays December when November is selected.,bug
Broken links in getting-started guide,Three links in the getting-started guide return 404 errors.,documentation
Memory leak in dashboard component,The dashboard page memory usage climbs unbounded after navigating between tabs.,bug
Notification badge count is wrong,The unread notification count shows 5 but there are only 2 unread messages.,bug
Example .env file missing,There is no .env.example file; developers don't know what variables to configure.,documentation
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Webhook payload schema missing,There is no documentation of the JSON payload structure for outgoing webhooks.,documentation
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
No troubleshooting section,Docs have no troubleshooting section; common errors send users to GitHub issues instead.,documentation
Browser notifications,Support native browser push notifications as an alternative to email.,feature
Empty dropdown on slow connection,On connections slower than 3G the autocomplete dropdown stays empty indefinitely.,bug
API endpoint for /users not documented,The /api/v1/users GET endpoint is missing from the API reference docs.,documentation
Priority levels for issues,Add priority fields (critical / high / medium / low) with visual indicators.,feature
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Test coverage report not published,There is no public test coverage report; contributors can't see which areas need tests.,documentation
Webhook secret not validated,The app accepts webhook payloads even when the HMAC signature is wrong.,bug
Webhook payload schema missing,There is no documentation of the JSON payload structure for outgoing webhooks.,documentation
Offline mode shows stale data,The PWA offline cache serves data from 7 days ago even when network is available.,bug
Search with filters,"The search bar should support filtering by date range, label, and assignee simultaneously.",feature
Invoice PDF shows wrong total,The subtotal on exported invoices does not include applied discount codes.,bug
API returns 500 on empty body,POSTing to /api/users with an empty JSON body returns 500 instead of 400.,bug
Internationalization format undocumented,The i18n message format (.po files) used by the project is not explained anywhere.,documentation
Offline mode shows stale data,The PWA offline cache serves data from 7 days ago even when network is available.,bug
Role change not effective until re-login,Changing a user's role from Viewer to Editor requires them to log out and back in.,bug
Bulk export to PDF,Add an option to export multiple records at once as a single PDF document.,feature
Add dark mode support,It would be great to have a dark theme option to reduce eye strain when working at night.,feature
GitHub Actions integration,Trigger CI/CD workflows directly from the UI without leaving the platform.,feature
OAuth app authorization page,Add a dedicated page listing all authorized OAuth apps with revoke buttons.,feature
Back button creates duplicate history entries,Using browser back adds duplicate entries to history on the settings page.,bug
Search highlights wrong term,The search result highlight marks the wrong word when query has multiple terms.,bug
Issue score / voting,Allow contributors to upvote issues to help maintainers prioritise by community demand.,feature
Data retention policies,Allow admins to configure automatic deletion of closed issues after N years.,feature
Table column widths collapse,Resizing the browser window causes all table columns to squeeze to minimum width.,bug
API authentication examples missing,The authentication docs explain Bearer tokens exist but show no curl or SDK example.,documentation
Custom issue templates,Allow repo admins to define issue templates so contributors fill out structured reports.,feature
Architecture diagram missing,New contributors ask repeatedly about the high-level architecture; a diagram would help.,documentation
Smart label suggestions,Automatically suggest labels based on issue title content using NLP.,feature
Export activity log to CSV,Add a download button on the activity log page to export it as CSV.,feature
Custom email domain for notifications,Allow organizations to send notification emails from their own domain.,feature
Issue dependency linking,Allow marking an issue as 'blocked by' or 'blocking' another issue.,feature
Tutorial for first issue submission,New contributors have no step-by-step tutorial for opening their first issue.,documentation
Search highlights wrong term,The search result highlight marks the wrong word when query has multiple terms.,bug
Webhook secret not validated,The app accepts webhook payloads even when the HMAC signature is wrong.,bug
Rich text editor for issue body,Replace the plain text field with a rich text editor supporting formatting and images.,feature
Docs should mention browser compatibility,There is no browser support matrix; users report issues on Safari with no guidance.,documentation
Dark mode toggle resets on refresh,Theme preference is not persisted; the app always loads in light mode.,bug
Add dark mode support,It would be great to have a dark theme option to reduce eye strain when working at night.,feature
Infinite loop in pagination,Clicking 'next page' on page 3 redirects back to page 1 continuously.,bug
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Tag hierarchy / nested labels,Support parent-child label relationships (e.g. 'platform > mobile > ios').,feature
Docs should mention browser compatibility,There is no browser support matrix; users report issues on Safari with no guidance.,documentation
Audio player skips on Safari,The in-app audio player skips the first 2 seconds of every track on Safari 17.,bug
Deployment guide outdated,The deployment guide still references Docker Compose v2 syntax which has changed.,documentation
Long username breaks card layout,Usernames longer than 25 characters overflow their container in the user card.,bug
Comment edited timestamp not updated,Editing a comment updates its content but the 'last edited' timestamp stays the same.,bug
Settings page crashes on IE11,Accessing settings throws 'Symbol is not defined' on Internet Explorer 11.,bug
CLI flags undocumented,The --verbose and --dry-run flags appear in help output but are not in the docs.,documentation
Test coverage report not published,There is no public test coverage report; contributors can't see which areas need tests.,documentation
Issue templates from URL parameters,Allow pre-filling issue form fields via URL query parameters.,feature
Dark mode toggle resets on refresh,Theme preference is not persisted; the app always loads in light mode.,bug
Two-pane layout option,"Add a side-by-side layout: issue list on the left, detail on the right.",feature
Currency formatting wrong for non-US locales,"Prices display as '$1,000.50' even when the user locale is set to German.",bug
Date picker shows wrong month,The calendar component displays December when November is selected.,bug
Postman collection not published,A Postman collection for the API would help developers explore endpoints quickly.,documentation
Saved search filters,Let users save frequently-used filter combinations and recall them from a menu.,feature
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Workflow diagrams would help onboarding,A visual diagram of the issue lifecycle (open → triage → in-progress → closed) is missing.,documentation
Table view for comments,Display issue comments in a compact table format for long discussion threads.,feature
Config file options not listed,The config.yaml options are not documented; only the defaults are shown.,documentation
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Number input accepts letters,The quantity field on the order page accepts alphabetical input without validation.,bug
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Dedicated mobile app,Build native iOS and Android apps for managing issues on the go.,feature
Drag to reorder dashboard widgets,Let users drag and drop dashboard cards to customize their layout.,feature
Architecture diagram missing,New contributors ask repeatedly about the high-level architecture; a diagram would help.,documentation
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Data retention policies,Allow admins to configure automatic deletion of closed issues after N years.,feature
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
Dropdown closes on scroll,The multi-select dropdown dismisses itself when the user scrolls inside it.,bug
Multi-project dashboards,A single dashboard view aggregating metrics from all projects in an organization.,feature
Notification badge count is wrong,The unread notification count shows 5 but there are only 2 unread messages.,bug
Database connection not released,After 50 API calls the connection pool is exhausted; subsequent requests time out.,bug
Changelog not updated for v2.4,The CHANGELOG.md was not updated when v2.4 was released two weeks ago.,documentation
Print layout breaks on Chrome,Printing any page via Ctrl+P in Chrome causes content to overflow page boundaries.,bug
GDPR compliance guide missing,There is no documentation explaining which data is stored and how to request deletion.,documentation
Screenshots in docs are outdated,The UI screenshots in the tutorial still show the old design from 2021.,documentation
Move issue between projects,Allow reassigning an issue to a different project from the issue detail page.,feature
Countdown timer goes negative,The event countdown timer displays negative seconds after the event time passes.,bug
Security best practices missing,There is no documentation advising users on secure token storage or HTTPS enforcement.,documentation
Global search across all projects,The search bar should search across all projects the user has access to.,feature
Release process not documented,There is no internal documentation explaining how maintainers cut a new release.,documentation
Report export times out,Generating a report with more than 1000 rows times out after 30 seconds.,bug
PR review process not documented,CONTRIBUTING.md doesn't explain the PR review process or expected turnaround time.,documentation
Emoji reactions on comments,Allow team members to react to comments with emoji instead of adding a reply.,feature
Archive old closed issues,Add an archive option to move closed issues older than 1 year out of the main view.,feature
PDF export ignores custom fonts,Exported PDFs render in Times New Roman instead of the configured brand font.,bug
CSV column mapping on import,Allow mapping CSV columns to issue fields during the import wizard.,feature
Mention groups / teams,@team-name mention that notifies all members of a team.,feature
Database connection not released,After 50 API calls the connection pool is exhausted; subsequent requests time out.,bug
Webhook retry policy not documented,There is no documentation on how many times webhooks are retried and when.,documentation
Emoji reactions on comments,Allow team members to react to comments with emoji instead of adding a reply.,feature
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
Custom issue templates,Allow repo admins to define issue templates so contributors fill out structured reports.,feature
Avatar initials show wrong characters,"User 'Ångström, Anders' shows initials 'Å' instead of 'AA'.",bug
Keyboard shortcut conflicts with browser,Ctrl+S is used for saving but conflicts with the browser's native save dialog.,bug
Contribution guidelines unclear,CONTRIBUTING.md does not explain how to run tests before submitting a PR.,documentation
Dropdown closes on scroll,The multi-select dropdown dismisses itself when the user scrolls inside it.,bug
Dedicated mobile app,Build native iOS and Android apps for managing issues on the go.,feature
Long username breaks card layout,Usernames longer than 25 characters overflow their container in the user card.,bug
Tag filter shows deleted tags,The issue filter dropdown includes tags that have been deleted from the system.,bug
Issue template preview,Show a live preview of how an issue template will look before saving it.,feature
Docs should mention browser compatibility,There is no browser support matrix; users report issues on Safari with no guidance.,documentation
Test coverage report not published,There is no public test coverage report; contributors can't see which areas need tests.,documentation
Inline code execution in comments,Allow running small code snippets directly in the comment preview.,feature
Database connection not released,After 50 API calls the connection pool is exhausted; subsequent requests time out.,bug
No migration guide for v1 to v2,Upgrading from v1 to v2 breaks the API but no migration guide is provided.,documentation
Plugin development guide needed,There is no guide explaining how to build and register a custom plugin.,documentation
Chart renders blank on Firefox,The bar chart component is completely blank in Firefox 118 but works in Chrome.,bug
Rate limiting not applied per user,"The rate limiter applies globally instead of per user, blocking all users at once.",bug
Drag to reorder dashboard widgets,Let users drag and drop dashboard cards to customize their layout.,feature
OAuth app authorization page,Add a dedicated page listing all authorized OAuth apps with revoke buttons.,feature
Community forum not mentioned in docs,New users don't know a community forum exists; it should be linked from the help page.,documentation
No migration guide for v1 to v2,Upgrading from v1 to v2 breaks the API but no migration guide is provided.,documentation
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Conditional form fields,Show or hide form fields based on answers to previous fields (dynamic forms).,feature
CLI flags undocumented,The --verbose and --dry-run flags appear in help output but are not in the docs.,documentation
Duplicate entries on fast submit,Double-clicking the submit button inserts two identical records to the database.,bug
Side-by-side diff for edited comments,Show a diff view when editing a comment so reviewers can see what changed.,feature
Error code reference missing,The API returns numeric error codes but there is no reference table explaining them.,documentation
Login page freezes after wrong password,Entering an incorrect password causes the login form to hang indefinitely.,bug
No migration guide for v1 to v2,Upgrading from v1 to v2 breaks the API but no migration guide is provided.,documentation
Integrated video screen recording,Allow attaching a short screen recording directly to an issue from the browser.,feature
No troubleshooting section,Docs have no troubleshooting section; common errors send users to GitHub issues instead.,documentation
Support CSV import,Allow users to import data in bulk via CSV upload instead of manual entry.,feature
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Reply-by-email,Allow users to reply to issue comment emails to post their reply without opening the app.,feature
Mention users in comments,@mention support in comments would help direct attention to specific teammates.,feature
Release process not documented,There is no internal documentation explaining how maintainers cut a new release.,documentation
API endpoint for /users not documented,The /api/v1/users GET endpoint is missing from the API reference docs.,documentation
Localization / i18n,Add support for additional languages starting with Spanish and French.,feature
Report export times out,Generating a report with more than 1000 rows times out after 30 seconds.,bug
Example .env file missing,There is no .env.example file; developers don't know what variables to configure.,documentation
Search with special chars returns 400,Searching for 'C++' or 'C#' returns a 400 Bad Request error.,bug
Form autofill breaks validation,"Browser autofill fills hidden fields, causing validation errors on unrelated fields.",bug
OAuth flow not explained,The docs mention OAuth but provide no step-by-step guide for implementing it.,documentation
Invoice PDF shows wrong total,The subtotal on exported invoices does not include applied discount codes.,bug
Public API for third-party integrations,Publish a documented REST API so teams can integrate with their own tools.,feature
Long username breaks card layout,Usernames longer than 25 characters overflow their container in the user card.,bug
Password reset email not sent,Clicking 'Forgot Password' shows success but the email is never delivered.,bug
Sort order resets after filter,Applying a filter while sorted by date resets the sort order to default.,bug
Email notification digest,"Instead of per-event emails, allow users to opt in to a daily or weekly digest.",feature
Column sort icon misaligned,The sort arrow icon in the data table header is offset by 4px to the right.,bug
FAQ page needs updating,The FAQ page was last edited 2 years ago and many answers are no longer accurate.,documentation
Map component crashes on zoom,Zooming in to level 18 on the embedded map throws an uncaught TypeError.,bug
No troubleshooting section,Docs have no troubleshooting section; common errors send users to GitHub issues instead.,documentation
Example .env file missing,There is no .env.example file; developers don't know what variables to configure.,documentation
Role change not effective until re-login,Changing a user's role from Viewer to Editor requires them to log out and back in.,bug
Localization / i18n,Add support for additional languages starting with Spanish and French.,feature
No troubleshooting section,Docs have no troubleshooting section; common errors send users to GitHub issues instead.,documentation
Sub-tasks / checklist inside issues,Allow adding a checklist of sub-tasks within an issue to track partial completion.,feature
Login with Google fails on incognito,Google OAuth fails silently in incognito mode due to blocked third-party cookies.,bug
Workflow diagrams would help onboarding,A visual diagram of the issue lifecycle (open → triage → in-progress → closed) is missing.,documentation
SDK code examples don't run,The Python SDK examples in the docs use a deprecated method that was removed in v3.,documentation
Internationalization format undocumented,The i18n message format (.po files) used by the project is not explained anywhere.,documentation
Image lazy load breaks on Firefox,Lazy-loaded images below the fold never load on Firefox when JS scroll events are used.,bug
Currency formatting wrong for non-US locales,"Prices display as '$1,000.50' even when the user locale is set to German.",bug
Quick filters in sidebar,"Add one-click filter buttons in the sidebar: My Issues, Unassigned, Overdue.",feature
Webhook retry policy not documented,There is no documentation on how many times webhooks are retried and when.,documentation
Issue templates from URL parameters,Allow pre-filling issue form fields via URL query parameters.,feature
Issue dependency linking,Allow marking an issue as 'blocked by' or 'blocking' another issue.,feature
User avatar not updated after change,Changing the profile picture updates the database but the old avatar is still shown.,bug
Time tracking on issues,Add a built-in time tracker so contributors can log hours spent on an issue.,feature
API endpoint for /users not documented,The /api/v1/users GET endpoint is missing from the API reference docs.,documentation
Search returns wrong results,Searching for 'python' returns results tagged 'JavaScript' instead.,bug
Deployment guide outdated,The deployment guide still references Docker Compose v2 syntax which has changed.,documentation
Graph tooltip shows NaN,Hovering over data points with null values shows NaN instead of 'No data'.,bug
Integrated video screen recording,Allow attaching a short screen recording directly to an issue from the browser.,feature
Internationalization format undocumented,The i18n message format (.po files) used by the project is not explained anywhere.,documentation
Webhook not firing on delete event,Delete events do not trigger the configured webhook; create and update events work fine.,bug
Rate limiting not applied per user,"The rate limiter applies globally instead of per user, blocking all users at once.",bug
Saved search filters,Let users save frequently-used filter combinations and recall them from a menu.,feature
Workflow diagrams would help onboarding,A visual diagram of the issue lifecycle (open → triage → in-progress → closed) is missing.,documentation
Integrated video screen recording,Allow attaching a short screen recording directly to an issue from the browser.,feature
Priority levels for issues,Add priority fields (critical / high / medium / low) with visual indicators.,feature
OAuth flow not explained,The docs mention OAuth but provide no step-by-step guide for implementing it.,documentation
GitHub Actions integration,Trigger CI/CD workflows directly from the UI without leaving the platform.,feature
No video tutorials,Several users have requested short video walkthroughs for complex workflows.,documentation
Deployment guide outdated,The deployment guide still references Docker Compose v2 syntax which has changed.,documentation
Table view for comments,Display issue comments in a compact table format for long discussion threads.,feature
Release process not documented,There is no internal documentation explaining how maintainers cut a new release.,documentation
Example .env file missing,There is no .env.example file; developers don't know what variables to configure.,documentation
Invoice PDF shows wrong total,The subtotal on exported invoices does not include applied discount codes.,bug
Slack integration for notifications,Push issue status changes to a configured Slack channel via webhook.,feature
GDPR compliance guide missing,There is no documentation explaining which data is stored and how to request deletion.,documentation
Time tracking on issues,Add a built-in time tracker so contributors can log hours spent on an issue.,feature
GDPR compliance guide missing,There is no documentation explaining which data is stored and how to request deletion.,documentation
Environment variables not listed,No documentation exists for which environment variables are required or optional.,documentation
OAuth flow not explained,The docs mention OAuth but provide no step-by-step guide for implementing it.,documentation
Progress bar on milestone,Show a visual progress bar on milestone pages based on closed vs open issues.,feature
Number input accepts letters,The quantity field on the order page accepts alphabetical input without validation.,bug
Webhook not firing on delete event,Delete events do not trigger the configured webhook; create and update events work fine.,bug
Audit log export,Allow exporting the full audit log as a JSON or CSV file for compliance needs.,feature
API rate limit dashboard,Show remaining API quota and reset time in the developer settings panel.,feature
Webhook retry policy not documented,There is no documentation on how many times webhooks are retried and when.,documentation
Repeating / recurring issues,"Support creating issues that recur on a schedule (daily standup, weekly review).",feature
API rate limit dashboard,Show remaining API quota and reset time in the developer settings panel.,feature
Search index not rebuilt after docs update,Changes to the documentation are not reflected in the search results for 24 hours.,documentation
Pagination parameters not explained,The docs show that endpoints support pagination but don't explain cursor vs offset.,documentation
Compact list density option,Add a 'compact' display density setting to show more issues per page.,feature
Role change not effective until re-login,Changing a user's role from Viewer to Editor requires them to log out and back in.,bug
Glossary needed for domain terms,"Terms like 'workspace', 'project', and 'organisation' are used inconsistently and undefined.",documentation
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Time zone not respected in notifications,Scheduled notifications arrive at the wrong time for users outside UTC.,bug
Storybook not linked from docs,The component storybook exists but is not linked from the UI documentation.,documentation
Multiline text truncated in PDF export,Long text fields wrap correctly on screen but are truncated in PDF exports.,bug
Two-pane layout option,"Add a side-by-side layout: issue list on the left, detail on the right.",feature
Deployment guide outdated,The deployment guide still references Docker Compose v2 syntax which has changed.,documentation
GDPR compliance guide missing,There is no documentation explaining which data is stored and how to request deletion.,documentation
SDK code examples don't run,The Python SDK examples in the docs use a deprecated method that was removed in v3.,documentation
Localization / i18n,Add support for additional languages starting with Spanish and French.,feature
No video tutorials,Several users have requested short video walkthroughs for complex workflows.,documentation
Markdown not rendered in comments,Bold and italic markdown syntax is displayed as raw characters in comment sections.,bug
Docs should mention browser compatibility,There is no browser support matrix; users report issues on Safari with no guidance.,documentation
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Date picker shows wrong month,The calendar component displays December when November is selected.,bug
GitHub Actions integration,Trigger CI/CD workflows directly from the UI without leaving the platform.,feature
Smart label suggestions,Automatically suggest labels based on issue title content using NLP.,feature
Date picker shows wrong month,The calendar component displays December when November is selected.,bug
File upload fails silently,Uploading files larger than 10MB returns no error but the file is not saved.,bug
File upload fails silently,Uploading files larger than 10MB returns no error but the file is not saved.,bug
Offline mode support,The app should cache recent data so users can view (but not edit) content offline.,feature
Notification badge count is wrong,The unread notification count shows 5 but there are only 2 unread messages.,bug
Notification badge count is wrong,The unread notification count shows 5 but there are only 2 unread messages.,bug
Contribution guidelines unclear,CONTRIBUTING.md does not explain how to run tests before submitting a PR.,documentation
API pagination returns duplicate items,Page 2 of /api/posts contains the last item from page 1.,bug
Search returns wrong results,Searching for 'python' returns results tagged 'JavaScript' instead.,bug
Postman collection not published,A Postman collection for the API would help developers explore endpoints quickly.,documentation
Error message cut off on mobile,Toast error notifications are truncated at 30 characters on screens below 375px.,bug
Data retention policies,Allow admins to configure automatic deletion of closed issues after N years.,feature
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Issue relationships graph,A visual graph showing dependencies between issues and their resolution status.,feature
Docker quickstart guide needed,There is a Dockerfile but no guide explaining how to use it for local development.,documentation
Auto-assign based on label,Automatically assign issues labeled 'security' to the security team.,feature
Inline image paste in editor,Paste images from clipboard directly into the issue body field.,feature
Memory leak in dashboard component,The dashboard page memory usage climbs unbounded after navigating between tabs.,bug
Swagger UI not embedded in docs,The OpenAPI spec exists but there is no interactive Swagger UI in the documentation site.,documentation
Two-factor authentication,Please add TOTP-based 2FA as an optional security layer for user accounts.,feature
Accessibility features undocumented,The keyboard navigation and screen reader support are not mentioned in the docs.,documentation
Login with Google fails on incognito,Google OAuth fails silently in incognito mode due to blocked third-party cookies.,bug
Docs site broken on mobile,The documentation website is unreadable on screens narrower than 400px.,documentation
Image lazy load breaks on Firefox,Lazy-loaded images below the fold never load on Firefox when JS scroll events are used.,bug
Time tracking on issues,Add a built-in time tracker so contributors can log hours spent on an issue.,feature
Config file options not listed,The config.yaml options are not documented; only the defaults are shown.,documentation
PDF export ignores custom fonts,Exported PDFs render in Times New Roman instead of the configured brand font.,bug
Changelog not updated for v2.4,The CHANGELOG.md was not updated when v2.4 was released two weeks ago.,documentation
First-time contributor welcome message,Automatically post a welcome comment when a first-time contributor opens an issue.,feature
Kanban board view,Add an optional kanban board view as an alternative to the default list view.,feature
Export activity log to CSV,Add a download button on the activity log page to export it as CSV.,feature
Team capacity planning view,Show each team member's current open issue count and estimated load.,feature
Changelog not updated for v2.4,The CHANGELOG.md was not updated when v2.4 was released two weeks ago.,documentation
Customizable email notification content,Let users choose which fields appear in email notifications (title only vs full body).,feature
Custom labels with colors,Allow admins to define custom labels with custom colors beyond the built-in set.,feature
Pagination parameters not explained,The docs show that endpoints support pagination but don't explain cursor vs offset.,documentation
App crashes on startup,The app throws a NullPointerException immediately after launch on Android 13.,bug
Inline image paste in editor,Paste images from clipboard directly into the issue body field.,feature
API pagination returns duplicate items,Page 2 of /api/posts contains the last item from page 1.,bug
Dropdown closes on scroll,The multi-select dropdown dismisses itself when the user scrolls inside it.,bug
Custom issue templates,Allow repo admins to define issue templates so contributors fill out structured reports.,feature
Code of conduct not prominent,The CODE_OF_CONDUCT.md exists but is not linked from the README or contribution guide.,documentation
Rate limit documentation incomplete,Docs mention rate limiting exists but don't specify limits per endpoint.,documentation
Compact list density option,Add a 'compact' display density setting to show more issues per page.,feature
Multiline text truncated in PDF export,Long text fields wrap correctly on screen but are truncated in PDF exports.,bug
File upload fails silently,Uploading files larger than 10MB returns no error but the file is not saved.,bug
Performance benchmarks not published,Users ask about expected response times; publishing benchmark results would help.,documentation
Token expires too early,JWT tokens expire after 5 minutes instead of the configured 60 minutes.,bug
Toast notification stacks incorrectly,Multiple rapid actions produce overlapping toast notifications that cover each other.,bug
Priority levels for issues,Add priority fields (critical / high / medium / low) with visual indicators.,feature
Image thumbnail not generated,Profile pictures uploaded as PNG have no thumbnail generated; only JPEGs work.,bug
Tutorial for first issue submission,New contributors have no step-by-step tutorial for opening their first issue.,documentation
Issue score / voting,Allow contributors to upvote issues to help maintainers prioritise by community demand.,feature
Dropdown closes on scroll,The multi-select dropdown dismisses itself when the user scrolls inside it.,bug
Issue template preview,Show a live preview of how an issue template will look before saving it.,feature
Smart label suggestions,Automatically suggest labels based on issue title content using NLP.,feature
Search with filters,"The search bar should support filtering by date range, label, and assignee simultaneously.",feature
Countdown timer goes negative,The event countdown timer displays negative seconds after the event time passes.,bug
Inline image paste in editor,Paste images from clipboard directly into the issue body field.,feature
PDF annotations,Allow users to highlight and comment on attached PDFs directly in the browser.,feature
Footer overlaps content on short screens,On screens shorter than 500px the footer overlaps the last content section.,bug
GraphQL mutation returns outdated cache,"After a mutation, the Apollo cache is not invalidated and shows the old data.",bug
No video tutorials,Several users have requested short video walkthroughs for complex workflows.,documentation
Error message cut off on mobile,Toast error notifications are truncated at 30 characters on screens below 375px.,bug
Storybook not linked from docs,The component storybook exists but is not linked from the UI documentation.,documentation
Side-by-side diff for edited comments,Show a diff view when editing a comment so reviewers can see what changed.,feature
Countdown timer goes negative,The event countdown timer displays negative seconds after the event time passes.,bug
Postman collection not published,A Postman collection for the API would help developers explore endpoints quickly.,documentation
SSO group mapping not applied,Users authenticated via SAML SSO are not assigned to their mapped group.,bug
